#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
27.4250	-0.102
27.4500	-0.079
27.4750	-0.055
27.5000	-0.030
27.5250	-0.005
27.5500	0.020
27.5750	0.046
27.6000	0.071
27.6250	0.094
27.6500	0.118
27.6750	0.140
27.7000	0.160
27.7250	0.181
27.7500	0.198
27.7750	0.214
27.8000	0.228
27.8250	0.240
27.8500	0.250
27.8750	0.258
27.9000	0.264
27.9250	0.267
27.9500	0.269
27.9750	0.269
28.0000	0.264
28.0250	0.258
28.0500	0.251
28.0750	0.240
28.1000	0.229
28.1250	0.217
28.1500	0.201
28.1750	0.185
28.2000	0.168
28.2250	0.149
28.2500	0.130
28.2750	0.110
28.3000	0.088
28.3250	0.068
28.3500	0.046
28.3750	0.024
28.4000	0.002
28.4250	-0.019
28.4500	-0.039
28.4750	-0.060
28.5000	-0.079
28.5250	-0.097
28.5500	-0.115
28.5750	-0.130
28.6000	-0.145
28.6250	-0.157
28.6500	-0.170
28.6750	-0.178
28.7000	-0.185
28.7250	-0.192
28.7500	-0.195
28.7750	-0.196
28.8000	-0.196
28.8250	-0.196
28.8500	-0.192
28.8750	-0.187
28.9000	-0.179
28.9250	-0.170
28.9500	-0.160
28.9750	-0.148
29.0000	-0.134
29.0250	-0.119
29.0500	-0.104
29.0750	-0.088
29.1000	-0.071
29.1250	-0.052
29.1500	-0.035
29.1750	-0.016
29.2000	0.003
29.2250	0.022
29.2500	0.041
29.2750	0.060
29.3000	0.077
29.3250	0.094
29.3500	0.110
29.3750	0.126
29.4000	0.140
29.4250	0.152
29.4500	0.163
29.4750	0.174
29.5000	0.182
29.5250	0.188
29.5500	0.195
29.5750	0.198
29.6000	0.199
29.6250	0.199
29.6500	0.198
29.6750	0.195
29.7000	0.190
29.7250	0.184
29.7500	0.176
29.7750	0.167
29.8000	0.157
29.8250	0.145
29.8500	0.132
29.8750	0.119
29.9000	0.105
29.9250	0.091
29.9500	0.075
29.9750	0.061
30.0000	0.046
30.0250	0.030
30.0500	0.014
30.0750	-0.002
30.1000	-0.017
30.1250	-0.031
30.1500	-0.046
30.1750	-0.058
30.2000	-0.071
30.2250	-0.083
30.2500	-0.094
30.2750	-0.102
30.3000	-0.112
30.3250	-0.119
30.3500	-0.124
30.3750	-0.129
30.4000	-0.132
30.4250	-0.134
30.4500	-0.134
30.4750	-0.134
30.5000	-0.132
30.5250	-0.127
30.5500	-0.123
30.5750	-0.116
30.6000	-0.110
30.6250	-0.101
30.6500	-0.093
30.6750	-0.082
30.7000	-0.071
30.7250	-0.060
30.7500	-0.049
30.7750	-0.036
30.8000	-0.024
30.8250	-0.009
30.8500	0.003
30.8750	0.017
30.9000	0.030
30.9250	0.042
30.9500	0.055
30.9750	0.066
31.0000	0.077
31.0250	0.088
31.0500	0.097
31.0750	0.107
31.1000	0.115
31.1250	0.121
31.1500	0.127
31.1750	0.132
31.2000	0.135
31.2250	0.138
31.2500	0.138
31.2750	0.138
31.3000	0.138
31.3250	0.137
31.3500	0.134
31.3750	0.129
31.4000	0.124
31.4250	0.119
31.4500	0.113
31.4750	0.105
31.5000	0.099
31.5250	0.090
31.5500	0.082
31.5750	0.072
31.6000	0.063
31.6250	0.053
31.6500	0.044
31.6750	0.035
31.7000	0.024
31.7250	0.014
31.7500	0.005
31.7750	-0.005
31.8000	-0.014
31.8250	-0.022
31.8500	-0.030
31.8750	-0.038
31.9000	-0.044
31.9250	-0.050
31.9500	-0.057
31.9750	-0.061
32.0000	-0.064
32.0250	-0.069
32.0500	-0.071
32.0750	-0.071
32.1000	-0.072
32.1250	-0.072
32.1500	-0.071
32.1750	-0.069
32.2000	-0.068
32.2250	-0.064
32.2500	-0.060
32.2750	-0.057
32.3000	-0.050
32.3250	-0.046
32.3500	-0.039
32.3750	-0.033
32.4000	-0.025
32.4250	-0.019
32.4500	-0.011
32.4750	-0.005
32.5000	0.003
32.5250	0.011
32.5500	0.019
32.5750	0.025
32.6000	0.031
32.6250	0.039
32.6500	0.046
32.6750	0.050
32.7000	0.057
32.7250	0.061
32.7500	0.064
32.7750	0.069
32.8000	0.072
32.8250	0.074
32.8500	0.075
32.8750	0.077
32.9000	0.077
32.9250	0.077
32.9500	0.077
32.9750	0.075
33.0000	0.074
33.0250	0.072
33.0500	0.069
33.0750	0.068
33.1000	0.064
33.1250	0.061
33.1500	0.058
33.1750	0.055
33.2000	0.050
33.2250	0.047
33.2500	0.042
33.2750	0.039
33.3000	0.035
33.3250	0.031
33.3500	0.027
33.3750	0.024
33.4000	0.019
33.4250	0.014
33.4500	0.011
33.4750	0.008
33.5000	0.005
33.5250	0.002
33.5500	-0.002
33.5750	-0.003
33.6000	-0.006
33.6250	-0.008
33.6500	-0.008
33.6750	-0.009
33.7000	-0.011
33.7250	-0.011
33.7500	-0.011
33.7750	-0.011
33.8000	-0.011
33.8250	-0.011
33.8500	-0.009
33.8750	-0.008
33.9000	-0.008
33.9250	-0.006
33.9500	-0.006
33.9750	-0.005
34.0000	-0.002
34.0250	-0.002
34.0500	0.000
34.0750	0.002
34.1000	0.003
34.1250	0.005
34.1500	0.006
34.1750	0.008
34.2000	0.009
34.2250	0.011
34.2500	0.013
34.2750	0.013
34.3000	0.014
34.3250	0.016
34.3500	0.016
34.3750	0.017
34.4000	0.017
34.4250	0.017
34.4500	0.017
34.4750	0.017
34.5000	0.017
34.5250	0.017
34.5500	0.017
34.5750	0.017
34.6000	0.017
34.6250	0.017
34.6500	0.017
34.6750	0.017
34.7000	0.017
34.7250	0.017
34.7500	0.017
34.7750	0.017
34.8000	0.017
34.8250	0.017
34.8500	0.017
34.8750	0.017
34.9000	0.017
34.9250	0.017
34.9500	0.017
34.9750	0.017
35.0000	0.017
35.0250	0.017
35.0500	0.017
35.0750	0.017
35.1000	0.017
35.1250	0.017
35.1500	0.017
35.1750	0.017
35.2000	0.017
35.2250	0.017
35.2500	0.017
35.2750	0.017
35.3000	0.017
35.3250	0.017
35.3500	0.017
35.3750	0.017
35.4000	0.017
35.4250	0.017
35.4500	0.017
35.4750	0.017
35.5000	0.017
35.5250	0.017
35.5500	0.017
35.5750	0.017
35.6000	0.017
35.6250	0.017
35.6500	0.017
35.6750	0.017
35.7000	0.017
35.7250	0.017
35.7500	0.017
35.7750	0.017
35.8000	0.017
35.8250	0.017
35.8500	0.017
35.8750	0.017
35.9000	0.017
35.9250	0.017
35.9500	0.017
35.9750	0.017
36.0000	0.017
36.0250	0.017
36.0500	0.017
36.0750	0.017
36.1000	0.017
36.1250	0.017
36.1500	0.017
36.1750	0.017
36.2000	0.017
36.2250	0.017
36.2500	0.017
36.2750	0.017
36.3000	0.017
36.3250	0.017
36.3500	0.017
36.3750	0.017
36.4000	0.017
36.4250	0.017
36.4500	0.017
36.4750	0.017
36.5000	0.017
36.5250	0.017
36.5500	0.017
36.5750	0.017
